Stock Price,Equity,Portfolio,Buy Threshold,Sell Threshold
110.561,1000,0,106.3,117.489
110.921,1000,0,106.3,117.489
110.991,1000,0,106.3,117.489
110.495,1000,0,106.3,117.489
110.32,1000,0,106.3,117.489
110.748,1000,0,106.3,117.489
111.359,1000,0,106.3,117.489
110.945,1000,0,106.3,117.489
109.936,1000,0,106.3,117.489
108.93,1000,0,106.3,117.489
108.749,1000,0,105.426,116.523
109.409,1000,0,105.426,116.523
108.792,1000,0,105.426,116.523
108.267,1000,0,105.426,116.523
107.325,1000,0,105.426,116.523
108.272,1000,0,105.426,116.523
107.742,1000,0,105.426,116.523
106.838,1000,0,105.426,116.523
107.788,1000,0,105.426,116.523
108.234,1000,0,105.426,116.523
108.144,1000,0,105.426,116.523
108.477,1000,0,105.426,116.523
107.532,1000,0,105.426,116.523
107.946,1000,0,105.426,116.523
106.911,1000,0,105.426,116.523
106.759,1000,0,103.941,114.882
106.437,1000,0,103.941,114.882
106.998,1000,0,103.941,114.882
106.107,1000,0,103.941,114.882
106.614,1000,0,103.941,114.882
105.73,1000,0,103.941,114.882
105.441,1000,0,103.941,114.882
104.828,1000,0,103.941,114.882
104.148,1000,0,103.941,114.882
103.861,65.2523,9,103.941,114.882
103.193,65.2523,9,103.941,114.882
102.246,65.2523,9,103.941,114.882
103.064,65.2523,9,103.941,114.882
103.514,65.2523,9,103.941,114.882
104.374,65.2523,9,103.941,114.882
104.473,65.2523,9,101.135,111.781
103.869,65.2523,9,101.135,111.781
102.963,65.2523,9,101.135,111.781
102.96,65.2523,9,101.135,111.781
102.227,65.2523,9,101.135,111.781
103.111,65.2523,9,101.135,111.781
102.887,65.2523,9,101.135,111.781
103.658,65.2523,9,101.135,111.781
104.066,65.2523,9,101.135,111.781
103.533,65.2523,9,101.135,111.781
102.827,65.2523,9,101.135,111.781
103.27,65.2523,9,101.135,111.781
104.225,65.2523,9,101.135,111.781
104.653,65.2523,9,101.135,111.781
104.436,65.2523,9,101.135,111.781
105.302,65.2523,9,99.005,109.427
105.104,65.2523,9,99.005,109.427
105.372,65.2523,9,99.005,109.427
105.29,65.2523,9,99.005,109.427
105.429,65.2523,9,99.005,109.427
104.971,65.2523,9,99.005,109.427
104.88,65.2523,9,99.005,109.427
104.393,65.2523,9,99.005,109.427
